2025-07-11 14:56:41,953 - WebSocket - Timestamp: 2025-07-11 14:56:00+02:00, Open: 117809.91, High: 117824.8, Low: 117809.9, Close: 117819.91, Volume: 10.91928, Closed: False
2025-07-11 14:56:43,943 - WebSocket - Timestamp: 2025-07-11 14:56:00+02:00, Open: 117809.91, High: 117824.8, Low: 117809.9, Close: 117819.9, Volume: 11.134, Closed: False
2025-07-11 14:56:46,515 - WebSocket - Timestamp: 2025-07-11 14:56:00+02:00, Open: 117809.91, High: 117824.8, Low: 117809.9, Close: 117819.9, Volume: 11.15815, Closed: False
2025-07-11 14:56:48,502 - WebSocket - Timestamp: 2025-07-11 14:56:00+02:00, Open: 117809.91, High: 117824.8, Low: 117809.9, Close: 117819.9, Volume: 11.2161, Closed: False
2025-07-11 14:56:49,942 - WebSocket - Timestamp: 2025-07-11 14:56:00+02:00, Open: 117809.91, High: 117824.8, Low: 117809.9, Close: 117819.9, Volume: 12.50339, Closed: False
2025-07-11 14:56:51,947 - WebSocket - Timestamp: 2025-07-11 14:56:00+02:00, Open: 117809.91, High: 117824.8, Low: 117809.9, Close: 117819.9, Volume: 12.53571, Closed: False
2025-07-11 14:56:54,448 - WebSocket - Timestamp: 2025-07-11 14:56:00+02:00, Open: 117809.91, High: 117824.8, Low: 117809.9, Close: 117819.91, Volume: 12.80401, Closed: False
2025-07-11 14:56:55,941 - WebSocket - Timestamp: 2025-07-11 14:56:00+02:00, Open: 117809.91, High: 117824.8, Low: 117809.9, Close: 117819.9, Volume: 12.91347, Closed: False
2025-07-11 14:56:57,939 - WebSocket - Timestamp: 2025-07-11 14:56:00+02:00, Open: 117809.91, High: 117824.8, Low: 117809.9, Close: 117819.9, Volume: 13.05625, Closed: False
2025-07-11 14:56:59,960 - WebSocket - Timestamp: 2025-07-11 14:56:00+02:00, Open: 117809.91, High: 117824.8, Low: 117809.9, Close: 117819.9, Volume: 13.06342, Closed: True
2025-07-11 14:56:59,961 - WebSocket - Timestamp: 2025-07-11 14:57:00+02:00, Open: 117819.9, High: 117819.9, Low: 117819.9, Close: 117819.9, Volume: 0.0, Closed: False
2025-07-11 15:00:45,954 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 117878.11, Low: 117745.84, Close: 117779.99, Volume: 28.78057, Closed: False
2025-07-11 15:00:47,957 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 117878.11, Low: 117745.84, Close: 117800.0, Volume: 30.8776, Closed: False
2025-07-11 15:00:49,950 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 117878.11, Low: 117745.84, Close: 117811.07, Volume: 30.92714, Closed: False
2025-07-11 15:00:51,953 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 117878.11, Low: 117745.84, Close: 117815.07, Volume: 31.29861, Closed: False
2025-07-11 15:00:53,960 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 117878.11, Low: 117745.84, Close: 117819.22, Volume: 31.46093, Closed: False
2025-07-11 15:00:55,950 - WebSocket - Timestamp: 2025-07-11 15:00:00+02:00, Open: 117878.1, High: 117878.11, Low: 117745.84, Close: 117838.94, Volume: 31.90513, Closed: False
